guid,Word,Reading,Meaning,Level,ReadingType,Pattern,Rules,KanjiDetail
kk_星_ほし,星,ほし,星:◆天体、天空で光る天体◆(星のように)小さい、小さい点◆ひときわ目立つ、またそのような人◆二十八宿南方朱雀スザクの一つ,N4,kun,kun,IL2_single_default(kun 84%),星:◆天体、天空で光る天体◆(星のように)小さい、小さい点◆ひときわ目立つ、またそのような人◆二十八宿南方朱雀スザクの一つ
kk_春節_しゅんせつ,春節,しゅんせつ,春:◆地中の草木の芽が地上に現(あらわ)れ出る季節、四季(春・夏・秋・冬)の第一、陰暦の一月から三月◆若々しく瑞々(みずみず)しいさま、生気に満ちているさま◆異性を; 節:◆タケ(竹、イネ科タケ亜科の木)の中空の茎が途中で区切られ外側に硬く盛り上がっているところ、イネ科の植物に多くみられる◆区切り、変わり目、段落、けじめ◆区切りで,N4,on,on+on,B_noun_rad_竹(kun 93%),春:◆地中の草木の芽が地上に現(あらわ)れ出る季節、四季(春・夏・秋・冬)の第一、陰暦の一月から三月◆若々しく瑞々(みずみず)しいさま、生気に満ちているさま◆異性を; 節:◆タケ(竹、イネ科タケ亜科の木)の中空の茎が途中で区切られ外側に硬く盛り上がっているところ、イネ科の植物に多くみられる◆区切り、変わり目、段落、けじめ◆区切りで
kk_是から_これから,是から,これから,是:◆これ、この、ここ、this◆正しい、理に適(かな)っている、理に則(のっと)っている◆良しとして認める◆その通り、はい、同意・肯定を表す◆「是非(ぜひ)」◇善,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),是:◆これ、この、ここ、this◆正しい、理に適(かな)っている、理に則(のっと)っている◆良しとして認める◆その通り、はい、同意・肯定を表す◆「是非(ぜひ)」◇善
kk_是では_これでは,是では,これでは,是:◆これ、この、ここ、this◆正しい、理に適(かな)っている、理に則(のっと)っている◆良しとして認める◆その通り、はい、同意・肯定を表す◆「是非(ぜひ)」◇善,N4,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),是:◆これ、この、ここ、this◆正しい、理に適(かな)っている、理に則(のっと)っている◆良しとして認める◆その通り、はい、同意・肯定を表す◆「是非(ぜひ)」◇善
kk_是非_ぜひ,是非,ぜひ,是:◆これ、この、ここ、this◆正しい、理に適(かな)っている、理に則(のっと)っている◆良しとして認める◆その通り、はい、同意・肯定を表す◆「是非(ぜひ)」◇善; 非:◆～ではない、否定を表す言葉、同「匪」◆違っている、誤っている、正しくない◆「是非(ゼヒ)」◇物事の正邪、良し悪し◇(都合の良し悪しに拘らず)どうしても◆あらず,N4,on,on+on,A3_short_compound(on+on 71%),是:◆これ、この、ここ、this◆正しい、理に適(かな)っている、理に則(のっと)っている◆良しとして認める◆その通り、はい、同意・肯定を表す◆「是非(ぜひ)」◇善; 非:◆～ではない、否定を表す言葉、同「匪」◆違っている、誤っている、正しくない◆「是非(ゼヒ)」◇物事の正邪、良し悪し◇(都合の良し悪しに拘らず)どうしても◆あらず
kk_昼休み_ひるやすみ,昼休み,ひるやすみ,昼:◆日の出から日の入りまで間、日中(ニッチュウ)、日の入りから日の出までの間を「夜」◆正午(ショウゴ); 休:◆連続した動きや働きの途中で一旦その動きや働きを止(や)める、再開するために息を整えたり力を蓄(たくわ)えることをいう◆止める、止む、終わる、「【歸去來辭】羨萬,N4,kun,kun+kun,IL1_okurigana(kun 96%) | A1_compound_oku(kun 90%) | A1_on_kun_mix(on+kun 65%),昼:◆日の出から日の入りまで間、日中(ニッチュウ)、日の入りから日の出までの間を「夜」◆正午(ショウゴ); 休:◆連続した動きや働きの途中で一旦その動きや働きを止(や)める、再開するために息を整えたり力を蓄(たくわ)えることをいう◆止める、止む、終わる、「【歸去來辭】羨萬
kk_昼間_ひるま,昼間,ひるま,昼:◆日の出から日の入りまで間、日中(ニッチュウ)、日の入りから日の出までの間を「夜」◆正午(ショウゴ); 間:◆両側からぴったりと閉じられずに開いているところ、(空間・時間・物事・関係などが)連続せずに途切れているところ、開いたり途切れたりして何もないところ、隙(すき),N4,kun,kun+kun~,A3_short_compound(on+on 71%),昼:◆日の出から日の入りまで間、日中(ニッチュウ)、日の入りから日の出までの間を「夜」◆正午(ショウゴ); 間:◆両側からぴったりと閉じられずに開いているところ、(空間・時間・物事・関係などが)連続せずに途切れているところ、開いたり途切れたりして何もないところ、隙(すき)
kk_昼食_ちゅうしょく,昼食,ちゅうしょく,昼:◆日の出から日の入りまで間、日中(ニッチュウ)、日の入りから日の出までの間を「夜」◆正午(ショウゴ); 食:◆(固形の食べ物を)口の中でよく噛んで胃に入れる、よく噛んで胃に入れるもの、噛まずに胃に入れるのは「飲」◆(生きていくために必要な食べ物を得るための)俸禄(ホウ,N4,on,on+on,,昼:◆日の出から日の入りまで間、日中(ニッチュウ)、日の入りから日の出までの間を「夜」◆正午(ショウゴ); 食:◆(固形の食べ物を)口の中でよく噛んで胃に入れる、よく噛んで胃に入れるもの、噛まずに胃に入れるのは「飲」◆(生きていくために必要な食べ物を得るための)俸禄(ホウ
kk_時代_じだい,時代,じだい,時:◆一年の四分の一、季節、「一時(イチジ、三カ月、一季節)」「四時(シジ、四つの季節、四季)」◆一日の十二分の一、現在は二十四分の一、「時刻(ジコク)」◆年代、期; 代:◆替(か)える、それまでのもの(今あるもの)を別のものに替える、入れ替える、また入れ替わる◆同じ家主や国主がその地位にある期間、同じ種(シュ、起源を同じにするも,N4,on,on+on,A3_short_compound(on+on 71%),時:◆一年の四分の一、季節、「一時(イチジ、三カ月、一季節)」「四時(シジ、四つの季節、四季)」◆一日の十二分の一、現在は二十四分の一、「時刻(ジコク)」◆年代、期; 代:◆替(か)える、それまでのもの(今あるもの)を別のものに替える、入れ替える、また入れ替わる◆同じ家主や国主がその地位にある期間、同じ種(シュ、起源を同じにするも
kk_普段_ふだん,普段,ふだん,普:◆太陽の光が遠近にかかわらずどこにも一様に降り注ぐさま◆偏りがないさま、一様にどこまでも行き渡るさま¶別「𤽽」; 段:◆上へ上へと積み重なって層をなしたものの、その一つ一つ◆物事などの区切り、文章などの区切り◆階位、等級,N4,on,on+on,A3_short_compound(on+on 71%),普:◆太陽の光が遠近にかかわらずどこにも一様に降り注ぐさま◆偏りがないさま、一様にどこまでも行き渡るさま¶別「𤽽」; 段:◆上へ上へと積み重なって層をなしたものの、その一つ一つ◆物事などの区切り、文章などの区切り◆階位、等級
